#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
25.10,36.00,,,-45.874374,170.345932,2023-06-17 02:20:55,,186.29,0.02,S25.22,77.39,-4320.06,
25.00,35.00,,,-45.874374,170.345932,2023-06-17 02:20:55,,186.29,0.02,S25.15,77.27,-4320.61,
25.00,35.00,,,-45.874374,170.345932,2023-06-17 02:20:55,,186.29,0.02,S25.15,77.27,-4320.31,
24.90,35.00,,,-45.874374,170.345932,2023-06-17 02:20:55,,186.29,0.02,S25.13,77.24,-4320.79,
24.90,35.00,,,-45.874332,170.345932,2023-06-17 02:22:10,,0.00,0.13,N25.13,77.24,-4320.79,
24.90,35.00,8,1.1,-45.874332,170.345932,2023-06-17 02:22:10,28.00,0.00,0.13,N25.13,77.24,-4320.73,
24.90,35.00,8,1.1,-45.874332,170.345932,2023-06-17 02:22:10,28.00,0.00,0.13,N25.15,77.27,-4320.73,
24.90,35.00,10,1.0,-45.874336,170.345886,2023-06-17 02:22:14,27.90,0.00,0.13,N25.13,77.24,-4319.24,
24.90,35.00,10,1.0,-45.874351,170.345779,2023-06-17 02:22:16,28.20,0.00,0.13,N25.13,77.24,-4319.30,
24.90,35.00,10,1.0,-45.874351,170.345779,2023-06-17 02:22:16,28.20,0.00,0.13,N25.11,77.20,-4319.33,
24.90,34.00,10,1.0,-45.874351,170.345779,2023-06-17 02:22:16,28.20,0.00,0.13,N25.08,77.14,-4321.00,
24.80,34.00,10,1.0,-45.874351,170.345779,2023-06-17 02:22:16,28.20,0.00,0.13,N25.08,77.15,-4321.25,
24.80,34.00,10,1.0,-45.874351,170.345779,2023-06-17 02:22:16,28.20,0.00,0.13,N25.04,77.08,-4321.89,
24.80,34.00,10,1.0,-45.874351,170.345779,2023-06-17 02:22:16,28.20,0.00,0.13,N25.04,77.07,-4322.41,
24.70,34.00,10,1.0,-45.874351,170.345779,2023-06-17 02:22:16,28.20,0.00,0.13,N25.03,77.05,-4323.35,
24.70,34.00,10,1.0,-45.874351,170.345779,2023-06-17 02:22:16,28.20,0.00,0.13,N25.02,77.03,-4323.41,
